Code 2021,NUTS LV1
BE1,"Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest"
BE2,"Vlaams Gewest"
BE3,"Région wallonne"
BEZ,"Extra-Regio NUTS 1"
BG3,"Severna i yugoiztochna Bulgaria"
BG4,"Yugozapadna i yuzhna tsentralna Bulgaria"
BGZ,"Extra-Regio NUTS 1"
CZ0,"Cesko"
CZZ,"Extra-Regio NUTS 1"
DK0,"Danmark"
DKZ,"Extra-Regio NUTS 1"
DE1,"Baden-Württemberg"
DE2,"Bayern"
DE3,"Berlin"
DE4,"Brandenburg"
DE5,"Bremen"
DE6,"Hamburg"
DE7,"Hessen"
DE8,"Mecklenburg-Vorpommern"
DE9,"Niedersachsen"
DEA,"Nordrhein-Westfalen"
DEB,"Rheinland-Pfalz"
DEC,"Saarland"
DED,"Sachsen"
DEE,"Sachsen-Anhalt"
DEF,"Schleswig-Holstein"
DEG,"Thüringen"
DEZ,"Extra-Regio NUTS 1"
EE0,"Eesti"
EEZ,"Extra-Regio NUTS 1"
IE0,"Éire/Ireland"
IEZ,"Extra-Regio NUTS 1"
EL3,"Attiki"
EL4,"Nisia Aigaiou, Kriti"
EL5,"Voreia Ellada"
EL6,"Kentriki Ellada"
ELZ,"Extra-Regio NUTS 1"
ES1,"Noroeste (ES)"
ES2,"Noreste (ES)"
ES3,"Comunidad de Madrid"
ES4,"Centro (ES)"
ES5,"Este (ES)"
ES6,"Sur (ES)"
ES7,"Canarias"
ESZ,"Extra-Regio NUTS 1"
FR1,"Île de France"
FRB,"Centre - Val de Loire"
FRC,"Bourgogne - Franche-Comté"
FRD,"Normandie"
FRE,"Hauts-de-France"
FRF,"Grand Est"
FRG,"Pays-de-la-Loire"
FRH,"Bretagne"
FRI,"Nouvelle-Aquitaine"
FRJ,"Occitanie"
FRK,"Auvergne - Rhône-Alpes"
FRL,"Provence-Alpes-Côte d’Azur"
FRM,"Corse"
FRY,"RUP FR — Régions Ultrapériphériques Françaises"
FRZ,"Extra-Regio NUTS 1"
HR0,"Hrvatska"
HRZ,"Extra-Regio NUTS 1"
ITC,"Nord-Ovest"
ITF,"Sud"
ITG,"Isole"
ITH,"Nord-Est"
ITI,"Centro (IT)"
ITZ,"Extra-Regio NUTS 1"
CY0,"Kypros"
CYZ,"Extra-Regio NUTS 1"
LV0,"Latvija"
LVZ,"Extra-Regio NUTS 1"
LT0,"Lietuva"
LTZ,"Extra-Regio NUTS 1"
LU0,"Luxembourg"
LUZ,"Extra-Regio NUTS 1"
HU1,"Közép-Magyarország"
HU2,"Dunántúl"
HU3,"Alföld és Észak"
HUZ,"Extra-Regio NUTS 1"
MT0,"Malta"
MTZ,"Extra-Regio NUTS 1"
NL1,"Noord-Nederland"
NL2,"Oost-Nederland"
NL3,"West-Nederland"
NL4,"Zuid-Nederland"
NLZ,"Extra-Regio NUTS 1"
AT1,"Ostösterreich"
AT2,"Südösterreich"
AT3,"Westösterreich"
ATZ,"Extra-Regio NUTS 1"
PL2,"Makroregion Poludniowy"
PL4,"Makroregion Pólnocno-Zachodni"
PL5,"Makroregion Poludniowo-Zachodni"
PL6,"Makroregion Pólnocny"
PL7,"Makroregion Centralny"
PL8,"Makroregion Wschodni"
PL9,"Makroregion Województwo Mazowieckie"
PLZ,"Extra-Regio NUTS 1"
PT1,"Continente"
PT2,"Região Autónoma dos Açores"
PT3,"Região Autónoma da Madeira"
PTZ,"Extra-Regio NUTS 1"
RO1,"Macroregiunea unu"
RO2,"Macroregiunea doi"
RO3,"Macroregiunea trei"
RO4,"Macroregiunea patru"
ROZ,"Extra-Regio NUTS 1"
SI0,"Slovenija"
SIZ,"Extra-Regio NUTS 1"
SK0,"Slovensko"
SKZ,"Extra-Regio NUTS 1"
FI1,"Manner-Suomi"
FI2,"Åland"
FIZ,"Extra-Regio NUTS 1"
SE1,"Östra Sverige"
SE2,"Södra Sverige"
SE3,"Norra Sverige"
SEZ,"Extra-Regio NUTS 1"
UKC,"North East (England)"
UKD,"North West (England)"
UKE,"Yorkshire and the Humber"
UKF,"East Midlands (England)"
UKG,"West Midlands (England)"
UKH,"East of England"
UKI,"London"
UKJ,"South East (England)"
UKK,"South West (England)"
UKL,"Wales"
UKM,"Scotland"
UKN,"Northern Ireland"
UKZ,"Extra-Regio NUTS 1"
IS0,"Ísland"
ISZ,"Extra-Regio NUTS 1"
LI0,"Liechtenstein"
LIZ,"Extra-Regio NUTS 1"
NO0,"Norge"
NOZ,"Extra-Regio NUTS 1"
CH0,"Schweiz/Suisse/Svizzera"
CHZ,"Extra-Regio NUTS 1"
ME0,"Црна Гора "
MEZ,"Extra-Regio NUTS 1"
MK0,"Северна Македонија"
MKZ,"Extra-Regio NUTS 1"
AL0,"Shqipëria"
ALZ,"Extra-Regio NUTS 1"
RS1,"Србија - север "
RS2,"Србија - југ "
RSZ,"Extra-Regio NUTS 1"
TR1,"İstanbul"
TR2,"Batı Marmara"
TR3,"Ege"
TR4,"Doğu Marmara"
TR5,"Batı Anadolu"
TR6,"Akdeniz"
TR7,"Orta Anadolu"
TR8,"Batı Karadeniz"
TR9,"Doğu Karadeniz"
TRA,"Kuzeydoğu Anadolu"
TRB,"Ortadoğu Anadolu"
TRC,"Güneydoğu Anadolu"
TRZ,"Extra-Regio NUTS 1"
